1996 Item,Predicted HS Code,Confidence Score
1/ Provided for in subheading 0404.10.15.... 1/ 38.5¢/kg + 3.2%,99129527,0.5584690570831299
"Gloves, nesi, of plastics",39262040,0.9577333331108093
1/ Valued not over 51.2¢/kg....... 1/ 33¢/kg (MX),99129542,0.5498273372650146
Missing description,70200060,0.3560498356819153
"Dental fittings and parts and accessories thereof, other than of plastics",90212980,1.0
Missing description,70200060,0.3560498356819153
"Preparations for the treatment of leather, furskins, other materials nesi, containing less than 70% petroleum or bituminous mineral oils",34031150,0.9696853160858154
"Cucumbers, including gherkins, fresh or chilled, if entered March 1 to April 30, inclusive, in any year",7070040,1.0
Prune wine,22060030,1.0
Photographic cameras of a kind used for preparing printing plates or cylinders,90065920,0.9792554974555969
"Fluoropolymers, elastomeric, other than polytetrafluoroethylene, in primary forms",39046910,1.0000001192092896
"Hat-racks, hat pegs, brackets and similar fixtures, and parts thereof, of base metal",83025000,0.9877505302429199
1/ If entered during the period,8084020,0.39225533604621887
Strontium nitrate,28342920,1.0
"Single cotton yarn, less than 85 percent cotton by weight, of combed fibers, not over 14 nm, not put up for retail sale",52062100,1.0000001192092896
"Medicaments containing insulin, in dosage form or packed for retail",30043100,1.0
Ethylenebistetrabromophthalimide,29251910,1.0000001192092896
Other,9030000,0.3508177697658539
"Insulating fittings for electrical machines, appliances or equipment, of ceramics nesi",85471080,0.9457676410675049
Hollow profiles,76042100,0.5949636697769165
"1/ Tubes, pipes and hollow profiles of",73030000,0.7483118176460266
"Wall or ceiling coverings, with a backing of manmade fibers, greater than 70% by weight of PVC",39181031,1.0
"1/ Film, of a thickness not exceeding 0.025 mm,",80070020,0.6583672761917114
Tents of cotton,63062911,1.0
"Printed 3- or 4-thread twill of cotton, including cross twill, under 85% cotton by weight, mixed mainly with man-made fibers, over 200g/m2",52115200,0.9603255987167358
"Parts and accessories of nonelectrical instruments and apparatus for measuring or checking variables of liquids or gases, nesi",90269060,0.9548497200012207
Containing 70 percent or more by weight of silk or silk waste,62139007,0.8333443403244019
Other,9030000,0.3508177697658539
"Castor beans, whether or not broken",12019000,0.5664874911308289
"Fish hooks, snelled",95072040,1.0
"Fixed focus, hand held, 110 cameras",90065905,1.0
1/ Valued $1.10/kg or more,99041217,0.5175437927246094
"Flat-rolled products of alloy steel nesi, of a width of less than 300 mm, hot-rolled, less than 4.75 mm thick",72269901,0.7821648120880127
"Footwear with uppers of leather, made on a base or platform of wood, not having an inner sole or a protective metal toe-cap",64035910,0.9234004020690918
Cobalt ores and concentrates,26050000,1.0000001192092896
"Yarn of combed wool, containing less than 85 percent by weight of wool, not put up for retail sale",51072060,0.9372802376747131
"Dobbies and Jacquards, card reducing, copying, punching or assembling machines for use with machines of heading 8444, 8445, 8446 or 8447",84481100,1.0
Other,9030000,0.3508177697658539
"Pulps of fibrous cellulosic material, other than cotton linters pulp, semichemical",47069301,1.0
"Buttons of acrylic resin, of polyester resin, or of both such resins, covered with textile material",96062920,0.9837664365768433
Supported catalysts other than with nickel or precious metal or their compounds as the active substance,38151900,1.0
"Instrument panel clocks for vehicles, air/spacecraft or vessels, w/clock or watch movement < 50 mm wide, nonelectric",91040060,1.0
Seeds of peas of a kind used for sowing,7131010,1.000000238418579
Other,9030000,0.3508177697658539
Rail locomotives powered by electric accumulators (batteries),86012000,1.000000238418579
1/ Valued not over 31.5¢/kg.. 1/ 26.5¢/kg (MX),99129542,0.5403680801391602
"Fish balls, cakes and puddings, not in oil, not in immediate containers, weighing with their contents not over 6.8 kg each",16042030,1.0000001192092896
"Bodies (including cabs), for the vehicles of heading 8703",87079050,0.8428853750228882
"Live animals other than horses, asses, mules, hinnies, bovines, swine, sheep, goats, foxes or birds",1069001,0.7987712621688843
